,Character,Background,Relation,Camera Pose,HDR Description,PSNR Score,Inception Score
fashion_designer,0.4379892687002817,0.24564712742964426,0.14932023473083972,0.10314990437279144,0.06389346737414597,32.50121234460133,7.810126213676275
artist,0.3526712874571483,0.24341453984379763,0.18934754617512228,0.13853796136875948,0.07602866501547396,33.813839386504036,7.620735474542601
pianist,0.34723940442005796,0.24706662346919378,0.1828532213966052,0.13341173036023973,0.08942901563520234,35.79917717669046,7.809073593952178
cyclist,0.4729730437199275,0.26396221121152247,0.13180149981441597,0.07796010926831516,0.05330313887291899,30.14321665021835,7.36427036258225
scientist,0.4459833011031151,0.24441585441430405,0.14834696104129155,0.09511365499347446,0.06614021509885788,34.52025119964552,7.0951541374952
botanist,0.3657274613777797,0.24847479114929838,0.1833830036222935,0.12909407081703347,0.07332066924621662,34.6375528673867,7.839871625509985
conservationist,0.43737545410792034,0.23488984430829685,0.16057817277808983,0.09885582964246473,0.06830069239949808,34.08495694753246,7.805422855116966
technologist,0.4728366335233053,0.2195951672891776,0.1366492466380199,0.10214256470402083,0.0687763945820431,37.0150764310675,7.576397922222259
chef,0.3899104163050652,0.24075352251529689,0.17132513349254921,0.11701817807431025,0.08099275512310364,32.42750871162497,7.569736908847377
mary_life_2,0.36364537874857594,0.24104199906190235,0.17956154073278113,0.13436491830895345,0.08138616490177811,33.33363143922984,7.712881986068647
